archivo,estado,filas_originales,filas_validas,filas_descartadas,errores_detectados,error_rate,tiempo_total_segundos,throughput_filas_segundo,memoria_inicio_mb,memoria_fin_mb,cpu_inicio_percent,cpu_fin_percent
resumen_conversion.csv,ABORTADO_POR_EXCESO_ERRORES,12,0,12,6,1.0,0.116119,103.34,91.05,92.7,0.0,0.0
yellow_tripdata_2018-02_sucio_12_hilos.csv,OK,8492819,7639591,853228,853584,0.100465,73.301596,115861.31,90.91,1435.07,0.0,0.0
yellow_tripdata_2018-01_sucio_12_hilos.csv,OK,8760687,7880763,879924,880245,0.10044,75.514667,116013.05,91.15,1354.09,0.0,0.0
yellow_tripdata_2018-03_sucio_12_hilos.csv,OK,9431289,8483404,947885,948279,0.100504,81.043791,116372.75,91.21,1208.95,0.0,0.0
yellow_tripdata_2018-04_sucio_12_hilos.csv,OK,9306216,8371135,935081,935483,0.100479,82.56523,112713.5,92.7,1438.58,0.0,0.0
yellow_tripdata_2018-07_sucio_12_hilos.csv,OK,7851143,7060277,790866,791346,0.100733,63.326321,123979.14,569.54,1171.83,0.0,0.0
yellow_tripdata_2018-08_sucio_12_hilos.csv,OK,7855040,7059512,795528,796367,0.101276,63.712045,123289.72,694.48,1158.08,0.0,0.0
yellow_tripdata_2018-06_sucio_12_hilos.csv,OK,8714667,7838044,876623,877070,0.100592,74.261482,117351.1,654.66,1271.2,0.0,0.0
yellow_tripdata_2018-05_sucio_12_hilos.csv,OK,9224788,8297600,927188,927573,0.10051,76.373376,120785.39,723.04,1186.75,0.0,0.0
yellow_tripdata_2018-09_sucio_12_hilos.csv,OK,8049094,7231329,817765,818843,0.101597,69.072739,116530.69,535.18,1461.68,0.0,0.0
yellow_tripdata_2018-11_sucio_12_hilos.csv,OK,8155449,7325284,830165,831416,0.101793,68.586771,118907.03,556.37,1434.4,0.0,0.0
yellow_tripdata_2018-12_sucio_12_hilos.csv,OK,8195675,7349674,846001,848234,0.103225,69.366739,118149.92,377.26,1369.03,0.0,0.0
yellow_tripdata_2018-10_sucio_12_hilos.csv,OK,8834520,7933941,900579,902065,0.101939,76.145013,116022.31,513.81,1597.95,0.0,0.0
