tipo_error,severidad,cantidad
fare_negativo,ERROR,671202
passenger_vacio,WARNING,662254
distance_vacio,WARNING,606337
distance_outlier,ERROR,606231
passenger_negativo,ERROR,606188
fare_vacio,WARNING,605933
fecha_invalida,ERROR,605873
fare_texto,ERROR,605585
fecha_texto,ERROR,605156
payment_vacio,WARNING,605085
payment_texto,ERROR,604872
distance_texto,ERROR,604785
distance_negativo,ERROR,604528
passenger_texto,ERROR,604445
passenger_outlier,ERROR,604280
fecha_vacia,WARNING,604235
fare_outlier,ERROR,603516
columna_faltante,CRITICAL,5
tasa_error_excedida,CRITICAL,1
